transactionNo,date,price,product_name,category,payment_mode,customer_age,customer_gender
1,2023-10-23,466.9,Resistance Band,Accessories,Credit Card,40,Female
2,2024-07-01,1104.36,Barbell,Strength,Cash,40,Female
3,2024-03-12,943.5,Pull-up Bar,Accessories,Cash,22,Other
4,2024-05-13,1026.18,Dumbbell,Strength,Credit Card,51,Other
5,2023-10-15,198.05,Rowing Machine,Cardio,Cash,20,Other
6,2023-09-14,1411.59,Kettlebell,Strength,Cash,39,Other
7,2023-11-19,565.75,Dumbbell,Strength,Online Payment,29,Other
8,2024-04-30,1467.48,Barbell,Strength,Cash,60,Male
9,2023-12-02,573.64,Rowing Machine,Cardio,Cash,20,Female
10,2024-08-02,1340.26,Kettlebell,Strength,Cash,18,Male
11,2024-06-23,189.11,Yoga Mat,Accessories,Debit Card,38,Male
12,2024-01-07,427.46,Elliptical,Cardio,Online Payment,41,Other
13,2024-03-09,1110.82,Elliptical,Cardio,Credit Card,33,Female
14,2023-09-06,310.09,Barbell,Strength,Cash,37,Female
15,2023-12-16,780.34,Treadmill,Cardio,Debit Card,36,Other
16,2024-02-21,734.5,Dumbbell,Strength,Online Payment,42,Male
17,2023-12-23,261.55,Yoga Mat,Accessories,Online Payment,38,Male
18,2024-03-25,1058.08,Dumbbell,Strength,Cash,52,Male
19,2023-11-09,1232.22,Treadmill,Cardio,Credit Card,46,Male
20,2024-01-02,520.62,Pull-up Bar,Accessories,Online Payment,44,Female
21,2024-06-08,1193.01,Pull-up Bar,Accessories,Debit Card,21,Male
22,2023-11-14,330.11,Pull-up Bar,Accessories,Credit Card,53,Male
23,2024-03-16,75.99,Yoga Mat,Accessories,Cash,34,Other
24,2024-07-23,426.62,Elliptical,Cardio,Credit Card,43,Other
25,2024-03-04,1399.18,Kettlebell,Strength,Debit Card,34,Other
26,2024-05-21,976.21,Resistance Band,Accessories,Credit Card,40,Male
27,2023-12-14,913.71,Dumbbell,Strength,Online Payment,21,Other
28,2024-07-30,246.78,Barbell,Strength,Debit Card,52,Other
29,2024-03-15,1404.89,Treadmill,Cardio,Online Payment,53,Male
30,2023-10-13,1244.03,Dumbbell,Strength,Online Payment,35,Male
